message,label
hey Team mates - are you playing with me?????,0.0
move your ace plebs,1.0
nice,0.0
thanks KPZ,0.0
sry,0.0
idiots,1.0
i send replay for blocking,0.0
sry,0.0
bot,0.0
i know it was my missstake,0.0
spot pls,0.0
ehh,0.0
that was a hit t30,0.0
bot,0.0
gg,0.0
gjj,0.0
gg,0.0
gj elc,0.0
cok pis doyerim,0.0
sa,0.0
sa,0.0
sa,0.0
sa,0.0
gj elc,0.0
gg wp,0.0
giga chad,0.0
glhf,0.0
FUCK,2.0
i tracked him only,0.0
wtf?,0.0
90 here,0.0
go udes,0.0
spot him again,0.0
not even lit wtf,0.0
DONT CAP,1.0
FIND THIS BITCH,1.0
WTF,0.0
Enemy SPG Turbo_Noo (105 leFH18B2) just hit me and is now reloading for about 8.92s.,0.0
капец,0.0
ciao,0.0
Im Spotted at E9!,0.0
"MadeHR (Obj. 777 II), you are blocking my target!",0.0
Im Spotted at F9!,0.0
Im Spotted at G9!,0.0
87,0.0
new map ?,0.0
no,0.0
yes,0.0
yes,0.0
wow,0.0
brend new,0.0
I love it how you're forced to play this map from tier 1 till tier 10,0.0
Im Spotted at C1!,0.0
need eyes,0.0
pixel shot lol,0.0
hit him once,0.0
Im Spotted at E2!,0.0
gg,0.0
gg,0.0
gg,0.0
sta2 can u spot jgtig?,0.0
sta2 are u a bot?,1.0
gsor there,0.0
jap,3.0
sta push,0.0
ge shot me 3 times too,0.0
he*,0.0
he is reloud,0.0
yup,0.0
F him,1.0
:))),0.0
\i guess ptk is there too,0.0
so quiet x_X,0.0
ye,0.0
:D,0.0
tiger P be careful,0.0
before storm,0.0
true dat,0.0
:))),0.0
braindead sta stop shooting,1.0
ur u`ll get spotted,0.0
ffs,2.0
better do some spot,0.0
hm...,0.0
where could that ptk be,0.0
daaaamn,2.0
gg :D,0.0
lol,0.0
nice one isu,0.0
wp,0.0
gg,0.0
ggee,0.0
gg,0.0
Im Spotted at H6!,0.0
Im Spotted at G7!,0.0
Im Spotted at F9!,0.0
Im Spotted at F9!,0.0
Im Spotted at F9!,0.0
Im Spotted at F9!,0.0
Im Spotted at E9!,0.0
arty,0.0
Im Spotted at B0!,0.0
Im Spotted at D6!,0.0
Im Spotted at A5!,0.0
Im Spotted at A3!,0.0
Im Spotted at C3!,0.0
hit t22 med pls,0.0
foch,0.0
French in Berlin,0.0
meds run,0.0
regroup,0.0
might wanna cap,0.0
useless stat padders,1.0
ur dumb for not running,1.0
now we pushin gtogehter,0.0
hide behind ur meatsheild,2.0
gg 152,0.0
fair and balanced,0.0
pou les?,0.0
den katebazi kzanoni,0.0
i know,0.0
GO GO GO,0.0
pame piso,0.0
отсветись,0.0
bot,0.0
yea bot,0.0
Just looks like it.....,0.0
learn to play first,0.0
Im Spotted at H1!,0.0
No need to talk bad about yourself,0.0
Just be happy,0.0
You have a better team than you deserve,0.0
gg,0.0
fucking bug,2.0
thx imbecyl,1.0
med unistal game,1.0
"FR ROCK recrute francophones, voir conditions sur http://eu.wargaming.net/clans/500071861/",0.0
sry,0.0
T 26 v sry,0.0
gg noob lowe,1.0
"fff. you,. uselsss, idioty leopard",1.0
"stb-1, another uselkss player",1.0
wtf are you doing at the heavy side?,1.0
Im Spotted at A3!,0.0
Im Spotted at A3!,0.0
Im Spotted at A3!,0.0
fuu all,1.0
Im Spotted at F5!,0.0
Im Spotted at H5!,0.0
Im Spotted,0.0
Im Spotted at F0!,0.0
Im Spotted at K7!,0.0
g,0.0
Ggg,0.0
gg,0.0
bruh my ping haha,0.0
arty,0.0
arta,0.0
map check,0.0
idiotsd,1.0
look the map,0.0
we already lost 1 side,0.0
team of idiots,1.0
spg,0.0
f off,2.0
idiots,1.0
wtf,2.0
leopart,0.0
strv?,0.0
nice paly,0.0
GG,0.0
gg,0.0
nice shot,0.0
wow,0.0
wow,0.0
good job,0.0
i identify as a spotter XD,0.0
no enemy in this side??,0.0
gg,0.0
top gun...,0.0
ugh this gun,0.0
GG,0.0
shoot somebody omg???,0.0
where help,0.0
Mutz omg who spot them now?,0.0
wp Bour,0.0
push north,0.0
thanks,0.0
wheres the fv please,0.0
Worth it,0.0
gg,0.0
aty,0.0
ty,0.0
Im Spotted at J6!,0.0
Im Spotted at G1!,0.0
Im Spotted at G2!,0.0
sry,0.0
Im Spotted at G2!,0.0
Im Spotted at F2!,0.0
Im Spotted at E2!,0.0
Im Spotted at F2!,0.0
Im Spotted at H3!,0.0
Im Spotted at K4!,0.0
Im Spotted at J3!,0.0
Im Spotted at K4!,0.0
Im Spotted at J5!,0.0
Im Spotted at G8!,0.0
wait for me,0.0
maybe tank a shot and cli`?,0.0
clip,0.0
Im Spotted at D7!,0.0
Im Spotted at G8!,0.0
gg,0.0
gg :),0.0
i will from arty mark my words,0.0
noted,0.0
gg,0.0
siema nomi,0.0
kv3 from whom was the 344 damage,0.0
wz afk?,0.0
fu wz nothig help,1.0
#ERROR!,0.0
wz afk go def base,0.0
***,0.0
team kids,1.0
kill first arty,0.0
ARTY FIRST,0.0
he has moved,0.0
should i cap,0.0
man one shot and im dead,0.0
shit,2.0
how,0.0
gg idiots,1.0
gg first td,1.0
why are arty players so toxic?,0.0
spot,0.0
how should we help you arty,0.0
gg,0.0
wp,0.0
I belive bour,0.0
DO NOT TELL WHAT TO DO,1.0
from one site to the other takes 3 minutes for me with turbo,0.0
FUCKIN CLIKER,1.0
2 marks on bourrasque = really good player,0.0
xD underrtated commend,0.0
wp,0.0
gsor kurwa,1.0
spot,0.0
that non-pen on the arty was kinda funny,0.0
sweep the arty,0.0
nice shootin,0.0
jesus,0.0
E25 SPOT?,0.0
wtf??????,2.0
Im Spotted at A8!,0.0
thxn,0.0
np,0.0
we should do something,0.0
3 minutes,0.0
standart move,0.0
shit,2.0
cap,0.0
lets cap,0.0
you have to restart cap guys\,0.0
gj,0.0
WP,0.0
wp,0.0
gg,0.0
thannx :),0.0
g guys,0.0
gg,0.0
gg :),0.0
psy ujebane,1.0
robcie cos,0.0
u are reported wz,0.0
push gssor wreck,0.0
conq f you,1.0
!!!!,0.0
thank you,0.0
greek ******,3.0
hope your family die in fire,4.0
BC CHAWE 2 SCHOTS,0.0
what the **** are those two morons doing in our base,1.0
HES BLOCKING ME,1.0
U FKIING IDIOT,1.0
omg,0.0
i pinged million times,0.0
and u do **** about it,1.0
wot players...,1.0
СТАДО ТУПОРЫЛЫХ ДАУНОВ,1.0
Арта (M44) отстрелялась! По мне :(,0.0
gj basoto,0.0
Засвет в квадрате A2!!!,0.0
gj,0.0
gg,0.0
gg,0.0
OIK FU DIE LIKE SHHIITS,1.0
noobs,1.0
nice,0.0
enemy hp?,0.0
nice,0.0
gg,0.0
вы просрали все что можно просрать\,1.0
*** im stock xD,0.0
*** BC12t,1.0
ok,0.0
and??,0.0
soory i get crash,0.0
ok,0.0
BC 12t NB !!!,1.0
u2,0.0
*** pain,1.0
useless bc 12 t,1.0
u2,0.0
just report him,0.0
*** u lt,1.0
report bc lt,0.0
report this bot bc lt,0.0
report the bot bc,0.0
your mum is bot and make you,3.0
stfu kid,1.0
go eat ur ice cream,0.0
give puuusy all bots and produce you,1.0
*** u *** kid,3.0
report this bot bc lt,0.0
report the light,0.0
gg,0.0
gg,0.0
amx go,0.0
shit spg loves me,2.0
I envy you,0.0
conway 我身上有迷彩嗎?,0.0
let prrog kill,0.0
m6 great job,0.0
like u can play in world tournament for 299k,1.0
sorry arty fuck me hard,0.0
sry camping heavy m6,0.0
XD,0.0
bloddy bastard,1.0
:),0.0
wow i see your gread job,0.0
gread XD,0.0
learn english bloddy hell,1.0
im glad that htey fixed the mm,0.0
more hp to farm,0.0
xd,0.0
xd,0.0
Racecar got one tapped,0.0
xd,0.0
nom nom,0.0
track him,0.0
lol,0.0
e100,0.0
"Wanna fight, or cap?",0.0
cap,0.0
how many mm has he on back?,0.0
cap,0.0
turet 150-180mm,0.0
omg,0.0
cant pen no matte what,0.0
run,0.0
gg,0.0
gj,0.0
gg,0.0
need one frag misiion,0.0
thx,0.0
ddd,0.0
sorry bro,0.0
ammo rack,0.0
reload 70secs,0.0
np,0.0
tnh will push,0.0
watch for arty fire there,0.0
f1,0.0
strv,0.0
hahahhahahha,0.0
well done,0.0
help me on the hill please,0.0
degen bots,1.0
muhaha,0.0
"Core1 (T49), you are blocking my target!",0.0
ok lost,0.0
fck rng,0.0
just idiots,1.0
mongo m53,1.0
def,0.0
nb team,0.0
rigged shtw,1.0
fck this gamew,2.0
mimiim,0.0
this tank is paper,0.0
guys...,0.0
you wanna loose that right?,1.0
back,0.0
gj,0.0
gg,0.0
char mle idiot press x,0.0
Im Spotted at G4!,0.0
Im Spotted at G6!,0.0
fcking cant help anyone??,1.0
"darber00[BAM] (AE Phase I), не мешай стрелять! Уйди с линии огня по противнику!",0.0
??17,0.0
131,0.0
10,0.0
20,0.0
ebr,0.0
go,0.0
abr ma tole,0.0
ty,0.0
gg,0.0
g,0.0
gg,0.0
*** terrible day,2.0
those happen,0.0
WTF mid,1.0
?,0.0
tiger go play in your sandbox,1.0
pathetic...,2.0
polska gurom,0.0
sry,0.0
nice,0.0
wait me,0.0
but im slow,0.0
no ammo,0.0
gg,0.0
he is slow,0.0
gg,0.0
XD,0.0
bc noob,1.0
go spot^122,0.0
BC NOOB,1.0
you shoot me on spot place. then spot yourself,0.0
go BC,0.0
IDIOTA BC,0.0
GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0
GG,0.0
zzzzz,0.0
"last game, 7 teammates with &quot;0""but WOt doesnt fix games...lol",0.0
"hey assholes i sptot you protect me, fuxk you",1.0
gg,0.0
pierdol sie,1.0
push it,0.0
idiot campersw,0.0
elc go there,0.0
vvait,0.0
dip=death south=win,0.0
top team!!!! gj,0.0
gg,0.0
team bot,1.0
next idiot team,1.0
tier x pigs use gold,1.0
lose,0.0
gg wot OP trash,1.0
everyones use gold ammo wtf ?,0.0
wtf,2.0
%300 luck boost,0.0
e3 hp ?,0.0
one hit,0.0
200,0.0
char,0.0
strv,0.0
char 3-4,0.0
char cd,0.0
where strv?,0.0
obj move press W,0.0
gg,0.0
sorry,0.0
arty,0.0
I'm Spotted in G3 :(!,0.0
;),0.0
I'm Spotted in H3 :(!,0.0
relax,0.0
it's a 15min game,0.0
i know,0.0
yeah,0.0
need to wait for their lt,0.0
only arta on me,0.0
3 shells from arta in 30 sek,0.0
i hate this game,2.0
so thats why i not going there,0.0
come back bro,0.0
me too,0.0
but this map is ***,2.0
thats how you lose,2.0
when your heavies are camping in the bushes,2.0
because in your posiction im going to dead,2.0
and arty can shoot for me,0.0
i the bushes i can do good dmg,0.0
if i have spot,0.0
gg,0.0
I'll be spotting now,0.0
enemy arty reportet,0.0
yeah,0.0
i did it,0.0
thx for cover,0.0
this game is ***,2.0
4.3k damage game,0.0
gone to shit,1.0
Im Spotted at B3!,0.0
Im Spotted at B2!,0.0
Im Spotted at C1!,0.0
at8 fuck you,1.0
Im Spotted at J3!,0.0
Im Spotted at J5!,0.0
Im Spotted at E8!,0.0
let me 8,0.0
Im Spotted at E9!,0.0
gg,0.0
glhf all,0.0
rep badger,1.0
gj grille 15 ...,0.0
group of idiots,1.0
Good luck,0.0
Have fun!,0.0
amy support ???,0.0
arty??,0.0
where,0.0
gg,0.0
HO RI GO,0.0
gg,0.0
idiot,0.0
\go,0.0
idiots,0.0
gooooooooo,0.0
amx spot them,0.0
e 25,0.0
ow,0.0
try to spot them hellcat,0.0
we have to kill amx first,0.0
gg,0.0
mach den leo weg ??-??,0.0
kaka,0.0
nuuu,0.0
sleep,0.0
more,0.0
how he came,0.0
bc 12 middle spot???,0.0
57% win,0.0
fu,1.0
hahahha,0.0
so you can carry ;p,0.0
gg!,0.0
hahah ding 703 2,0.0
su 14 2 pls deinstall,0.0
3 mark on arty is bullshit,0.0
;),0.0
ARTY,0.0
elc,0.0
ebr go spot,0.0
elc here,0.0
HILL IS LOOSE,0.0
you happy,0.0
you used the wrong bushlune,0.0
gj heavies,0.0
gg,0.0
sry,0.0
nice spot,0.0
plz join 4 mission,0.0
idiot on hill,1.0
they just stay,0.0
cant we push on 5,0.0
5,0.0
4,0.0
3,0.0
2,0.0
gg,0.0
"n,tm",0.0
thx BC,0.0
Im Spotted at E3!,0.0
see more,0.0
Im Spotted at F2!,0.0
spot,0.0
gg,0.0
that see who will be the lucky guy,0.0
lol,0.0
3 FV4005,0.0
gg,0.0
try next time,0.0
revenge,0.0
go back,0.0
All!,0.0
I can stay here for the Base....,0.0
103,0.0
deleted,0.0
bc,0.0
lol,0.0
good day will come,0.0
keep sleep,0.0
move!!!,0.0
asia camping mode,3.0
play tier 10,0.0
